complex_name,protein_path,ligand_description,protein_sequence
Cc1ncccc1CCN,GLP1.pdb,Cc1ncccc1CCN,
CC1(C)CCCC(C)(CN)C1,GLP1.pdb,CC1(C)CCCC(C)(CN)C1,
N[C@@H]1[C@@H](CO)[C@H]2CCCC[C@@H]12,GLP1.pdb,N[C@@H]1[C@@H](CO)[C@H]2CCCC[C@@H]12,
NCC1CCC1,GLP1.pdb,NCC1CCC1,
CCOC(=O)c1ccc(CN)cc1,GLP1.pdb,CCOC(=O)c1ccc(CN)cc1,
CC(C)(C)n1cc(CN)c(=O)[nH]c1=O,GLP1.pdb,CC(C)(C)n1cc(CN)c(=O)[nH]c1=O,
NC1CC(=O)N(CC2CC2)C1,GLP1.pdb,NC1CC(=O)N(CC2CC2)C1,
Cc1nnc(CCCN)n1C,GLP1.pdb,Cc1nnc(CCCN)n1C,
NCc1ccon1,GLP1.pdb,NCc1ccon1,
COc1ccc(C(C)N)cn1,GLP1.pdb,COc1ccc(C(C)N)cn1,
CC(C)(CN)C1CCCCC1,GLP1.pdb,CC(C)(CN)C1CCCCC1,
NCCNS(=O)(=O)C(F)(F)F,GLP1.pdb,NCCNS(=O)(=O)C(F)(F)F,
CC(C)(C)OC(=O)N1CCC(N)c2cccnc21,GLP1.pdb,CC(C)(C)OC(=O)N1CCC(N)c2cccnc21,
CC[C@H](N)c1cccc([N+](=O)[O-])c1,GLP1.pdb,CC[C@H](N)c1cccc([N+](=O)[O-])c1,
COc1ccc(C(C)CN)cc1OC,GLP1.pdb,COc1ccc(C(C)CN)cc1OC,
CS(C)(=O)=NS(=O)(=O)CCN,GLP1.pdb,CS(C)(=O)=NS(=O)(=O)CCN,
CC(F)(F)C(CN)c1ccccc1,GLP1.pdb,CC(F)(F)C(CN)c1ccccc1,
CC(C)CC(C)(C)CN,GLP1.pdb,CC(C)CC(C)(C)CN,
NCC(c1ccccc1)N1CCCC1,GLP1.pdb,NCC(c1ccccc1)N1CCCC1,
CC(N)CCC1CCCO1,GLP1.pdb,CC(N)CCC1CCCO1,
CN1CC(CN)CC1=O,GLP1.pdb,CN1CC(CN)CC1=O,
CC12CCC(CN)(C1)OC2,GLP1.pdb,CC12CCC(CN)(C1)OC2,
COC(=O)C[C@@H](N)c1ccc(C(F)(F)F)cc1,GLP1.pdb,COC(=O)C[C@@H](N)c1ccc(C(F)(F)F)cc1,
CCn1cc([C@@H]2OCCC[C@H]2CN)cn1,GLP1.pdb,CCn1cc([C@@H]2OCCC[C@H]2CN)cn1,
NCC1(C(F)(F)F)CCOCC1,GLP1.pdb,NCC1(C(F)(F)F)CCOCC1,
NCc1ccc(OC2CCCC2)nc1,GLP1.pdb,NCc1ccc(OC2CCCC2)nc1,
COCC(=O)N1CCCC(N)C1,GLP1.pdb,COCC(=O)N1CCCC(N)C1,
NCc1ccc(F)c(F)c1F,GLP1.pdb,NCc1ccc(F)c(F)c1F,
CCc1ccc2c(c1)[C@@H](N)CCO2,GLP1.pdb,CCc1ccc2c(c1)[C@@H](N)CCO2,
