complex_name,protein_path,ligand_description,protein_sequence
CCCOc1ccc(OCCBr)cc1,GLP1.pdb,CCCOc1ccc(OCCBr)cc1,
CCCOc1c(C=O)cccc1OCC,GLP1.pdb,CCCOc1c(C=O)cccc1OCC,
ClCCSc1ccc(Cl)cc1,GLP1.pdb,ClCCSc1ccc(Cl)cc1,
ClCCSc1cc(Cl)ccc1Cl,GLP1.pdb,ClCCSc1cc(Cl)ccc1Cl,
CC(NC(=O)CCl)c1ccc(Cl)cc1Cl,GLP1.pdb,CC(NC(=O)CCl)c1ccc(Cl)cc1Cl,
CC(Cl)C(=O)NC(C)c1ccc(Cl)cc1Cl,GLP1.pdb,CC(Cl)C(=O)NC(C)c1ccc(Cl)cc1Cl,
Oc1ccc2oc3c(c2c1)CCCC3,GLP1.pdb,Oc1ccc2oc3c(c2c1)CCCC3,
NCC1CN(Cc2ccccc2)CCO1,GLP1.pdb,NCC1CN(Cc2ccccc2)CCO1,
Cc1oc(-c2ccccc2)nc1C(=O)O,GLP1.pdb,Cc1oc(-c2ccccc2)nc1C(=O)O,
CC(=O)c1ccc(-c2ccc(C(=O)O)o2)cc1,GLP1.pdb,CC(=O)c1ccc(-c2ccc(C(=O)O)o2)cc1,
CC(C)(C)C1CCc2sc(C(=O)NN)cc2C1,GLP1.pdb,CC(C)(C)C1CCc2sc(C(=O)NN)cc2C1,
Cc1ccc(-c2nc(-c3ccccn3)sc2CC(=O)O)cc1,GLP1.pdb,Cc1ccc(-c2nc(-c3ccccn3)sc2CC(=O)O)cc1,
Nc1nc(-c2cc(Cl)ccc2Cl)cs1,GLP1.pdb,Nc1nc(-c2cc(Cl)ccc2Cl)cs1,
CCC1CCc2sc(C(=O)O)cc2C1,GLP1.pdb,CCC1CCc2sc(C(=O)O)cc2C1,
O=C(O)CSc1ncnc2sccc12,GLP1.pdb,O=C(O)CSc1ncnc2sccc12,
Cc1nc(SCC(=O)O)c2c(C)c(C)sc2n1,GLP1.pdb,Cc1nc(SCC(=O)O)c2c(C)c(C)sc2n1,
CCc1cc2oc(=O)cc(CCl)c2cc1Cl,GLP1.pdb,CCc1cc2oc(=O)cc(CCl)c2cc1Cl,
O=S(=O)(c1ccccc1C(F)(F)F)N1CCN(c2ccccc2O)CC1,GLP1.pdb,O=S(=O)(c1ccccc1C(F)(F)F)N1CCN(c2ccccc2O)CC1,
CCC(C)NCC(=O)Nc1cccc(C)c1C,GLP1.pdb,CCC(C)NCC(=O)Nc1cccc(C)c1C,
Cc1cccc(NC(=O)CNCC(=O)Nc2cccc(C)c2C)c1C,GLP1.pdb,Cc1cccc(NC(=O)CNCC(=O)Nc2cccc(C)c2C)c1C,
O=C(O)c1nn(-c2ccccc2C(F)(F)F)cc1O,GLP1.pdb,O=C(O)c1nn(-c2ccccc2C(F)(F)F)cc1O,
CCCCOc1cc(C=O)ccc1OC,GLP1.pdb,CCCCOc1cc(C=O)ccc1OC,
Cc1cc(C(=O)C(C)Cl)c(C)n1Cc1ccco1,GLP1.pdb,Cc1cc(C(=O)C(C)Cl)c(C)n1Cc1ccco1,
COc1cc2c(cc1OC)C(c1ccccc1)NCC2,GLP1.pdb,COc1cc2c(cc1OC)C(c1ccccc1)NCC2,
COc1ccc(C(CN)N(C)C)cc1OC,GLP1.pdb,COc1ccc(C(CN)N(C)C)cc1OC,
NCC(c1ccc(F)cc1)N1CCOCC1,GLP1.pdb,NCC(c1ccc(F)cc1)N1CCOCC1,
COc1cc2c(cc1OC)C(CC(=O)NN)N(S(C)(=O)=O)CC2,GLP1.pdb,COc1cc2c(cc1OC)C(CC(=O)NN)N(S(C)(=O)=O)CC2,
CC1CCN(CCC(=O)NN)CC1,GLP1.pdb,CC1CCN(CCC(=O)NN)CC1,
NNC(=O)CCN1CCCC1,GLP1.pdb,NNC(=O)CCN1CCCC1,
COc1cc2c(cc1OC)C(c1cccs1)NCC2,GLP1.pdb,COc1cc2c(cc1OC)C(c1cccs1)NCC2,
CC1CCN(c2ccc([N+](=O)[O-])cc2C(=O)O)CC1,GLP1.pdb,CC1CCN(c2ccc([N+](=O)[O-])cc2C(=O)O)CC1,
Sc1nc(-c2ccc(Br)cc2)nc2ccccc12,GLP1.pdb,Sc1nc(-c2ccc(Br)cc2)nc2ccccc12,
CSc1ccc(C2NC(=S)NC(C)=C2C(=O)OC(C)C)cc1,GLP1.pdb,CSc1ccc(C2NC(=S)NC(C)=C2C(=O)OC(C)C)cc1,
O=c1c2sc(-c3ccccc3)cc2nc(S)n1CCN1CCOCC1,GLP1.pdb,O=c1c2sc(-c3ccccc3)cc2nc(S)n1CCN1CCOCC1,
O=C(O)c1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)ccc1Cl,GLP1.pdb,O=C(O)c1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)ccc1Cl,
COc1ccc2nc(NCc3ccc(Cl)cc3Cl)sc2c1,GLP1.pdb,COc1ccc2nc(NCc3ccc(Cl)cc3Cl)sc2c1,
COc1ccc(Cc2nc(Cl)c3c4c(sc3n2)CCC4)cc1OC,GLP1.pdb,COc1ccc(Cc2nc(Cl)c3c4c(sc3n2)CCC4)cc1OC,
CC1CCN(Cc2nc(Cl)c3c4c(sc3n2)CCC4)CC1,GLP1.pdb,CC1CCN(Cc2nc(Cl)c3c4c(sc3n2)CCC4)CC1,
Clc1nc(-c2cccnc2)nc2ccccc12,GLP1.pdb,Clc1nc(-c2cccnc2)nc2ccccc12,
